last,first,affiliation
Aigerman,Noam,University Montreal
Alexa,Marc,TU Berlin
Attene,Marco,CNR - IMATI
Babaei,Vahid,University of Bonn / Fraunhofer SCAI
Bærentzen,Jakob Andreas,Technical University of Denmark
Barton,Michael,BCAM
Benes,Bedrich,Purdue University
Biasotti,Silvia,IMATI - CNR
Bonneel,Nicholas,Inria / Ecole Polytechnique
Boubekeur,Tamy,Adobe Research
Bousseau,Adrien,"Inria, Université Côte d'Azur"
Campen,Marcel,Paderborn University
Chaine,Raphaelle,LIRIS CNRS
Cherchi,Gianmarco,University of Cagliari
Chien,Edward,Boston University
Cignoni,Paolo,ISTI - CNR
Cohen-Steiner,David,Inria
Coiffier,Guillaume,Inria Grenoble Alpes
Cordonnier,Guillaume,"Inria, Université Côte d'Azur"
Corman,Etienne,CNRS
Debrun,Mathieu,Inria
Digne,Julie,LIRIS - CNRS
Fu,Xiao-Ming,University of Science and Technology of China
Gillespie,Mark,Inria
Gingold,Yotam,George Mason University
Giorgi,Daniela,National Research Council of Italy
Grinspun,Eitan,University of Toronto
Guerrero,Paul,Adobe
Guy,Fargion,Bar-Ilan university
Hildebrandt,Klaus,TU Delft
Hormann,Kai,Università della Svizzera italiana
Huang,Jin,Zhejiang University
Huang,Qixing,UT Austin
Jacobson,Alec,University of Toronto and Adobe Research
Ju,Tao,Washington University in St. Louis
Kazhdan,Misha,Johns Hopkins University
Kobbelt,Leif,RWTH Aachen University
Kosinka,Jiri,"Bernoulli Institute, University of Groningen"
Lafarge,Florent,Inria
Lai,Yu-Kun,Cardiff University
Lefebvre,Sylvain,Inria
Maggioli,Filippo,University of Milano-Bicocca
Malomo,Luigi,ISTI - CNR
Mancinelli,Claudio,"DIBRIS, Università degli Studi di Genova"
Martínez,Jonàs,Inria
Mellado,Nicolas,"CNRS, IRIT, Université de Toulouse, France"
Melzi,Simone,University of Milano-Bicocca
Memari,Pooran,"CNRS, LIX, Ecole Polytechnique, IP Paris, Inria"
Mitra,Niloy,University College London
Patane,Giuseppe,CNR-IMATI
Pauly,Mark,EPFL
Pietroni,Nico,University of Technology Sydney
Protais,Francois,"CNRS, Inria"
Puppo,Enrico,University of Genoa
Ren,Jing,ETH Zurich
Ren,Yingying,ISTA
Rist,Florian,"KAUST, TU Wien"
Sacht,Leonardo,Universidade Federal de Santa Catarina
Sawhney,Rohan,NVIDIA
Schaefer,Scott,Texas A&M University
Schneider,Teseo,University of Victoria
Schröder,Peter,Caltech
Sellán,Silvia,Columbia University
Sharp,Nicholas,NVIDIA
Solomon,Justin,MIT
Sorkine-Hornung,Olga,ETH Zurich
Spagnuolo,Michela,CNR-IMATI
Stein,Oded,University of Southern California
Tarini,Marco,"Università degli Studi di Milano ""La Statale"""
Thiery,Jean-Marc,Adobe Research
Vaxman,Amir,The University of Edinburgh
Vouga,Etienne,UT Austin
Wallner,Johannes,TU Graz
Wang,Charlie C.L.,The University of Manchester
Wang,Stephanie,Adobe
Weber,Ofir,Bar-Ilan University
Wiersma,Ruben,ETH Zurich
Wu,KUI,LightSpeed Studios
Xin,Shiqing,Shandong University
Xu,Kai,National University of Defense Technology
Zhang,Eugene,Oregon State University
Zhao,Haisen,Shandong University
Zhou,Qingnan,Adobe Research
Zint,Daniel,New York University
